Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Tajikistan,TJK,16.05946368
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Tanzania,TZA,15.10728419
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Thailand,THA,170.89178125
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Timor-Leste,TLS,46.35492189
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Togo,TGO,7.88492618
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Tonga,TON,124.37019191
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Trinidad and Tobago,TTO,556.48208205
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Tunisia,TUN,133.6561934
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Turkey,TUR,366.16472344
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Turkmenistan,TKM,78.59692959
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Turks and Caicos Islands,TCA,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Tuvalu,TUV,423.84029438
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Uganda,UGA,5.99604044
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Ukraine,UKR,75.97784136
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,United Arab Emirates,ARE,953.5337233
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,United Kingdom,GBR,3265.41027922
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,United States,USA,4965.9381477
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Uruguay,URY,1008.23388115
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Uzbekistan,UZB,56.30999934
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Vanuatu,VUT,37.25801879
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,"Venezuela, RB",VEN,238.7686882
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Vietnam,VNM,58.84340106
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Virgin Islands (U.S.),VIR,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,West Bank and Gaza,PSE,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,"Yemen, Rep.",YEM,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Zambia,ZMB,21.96397892
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Zimbabwe,ZWE,26.20058922
,,,,
,,,,
,,,,
Data from database: Health Nutrition and Population Statistics,,,,
Last Updated: 04/27/2022,,,,
